case_id,generation_rank,candidate_id,candidate_source,source_alloy_id,source_alloy_name,material_family,scope_family,composition_concept,chemsys,retrieval_mode,n_elements,alloy_likeness_score,generated_note
hot_section_creep_am,1,kb_ni_h282,engineering_analogue,ni_h282,HAYNES 282 alloy,Ni-based superalloy-like candidate,Ni-based superalloy,Engineering analogue: HAYNES 282 alloy,Ni-Cr-Co-Mo-Ti-Al-Fe,knowledge_table_seed,7,88,Engineering analogue candidate generated from the curated alloy knowledge table. Selection reason: AM-supported seed; matches creep intent; matches temperature intent; matches route suitability intent; matches manufacturability intent; matches oxidation intent. AM support in seed table: yes. Haynes brochure + EOS AM data sheet
hot_section_creep_am,2,kb_ni_in718,engineering_analogue,ni_in718,INCONEL alloy 718,Ni-based superalloy-like candidate,Ni-based superalloy,Engineering analogue: INCONEL alloy 718,Ni-Cr-Nb-Mo-Ti-Al-Fe,knowledge_table_seed,7,88,Engineering analogue candidate generated from the curated alloy knowledge table. Selection reason: AM-supported seed; matches creep intent; matches route suitability intent; matches manufacturability intent; matches oxidation intent. AM support in seed table: yes. Special Metals bulletin + EOS AM data sheet
hot_section_creep_am,3,kb_ni_in706,engineering_analogue,ni_in706,INCONEL alloy 706,Ni-based superalloy-like candidate,Ni-based superalloy,Engineering analogue: INCONEL alloy 706,Ni-Cr-Nb-Ti-Al-Fe,knowledge_table_seed,6,88,Engineering analogue candidate generated from the curated alloy knowledge table. Selection reason: limited AM evidence; matches creep intent; matches temperature intent; matches route suitability intent; matches manufacturability intent; matches oxidation intent. AM support in seed table: limited. Special Metals nickel alloy handbook
hot_section_creep_am,4,mp-1228914,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al4CrNi15,Al-Cr-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,5,mp-1229050,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al18Co5Ni3,Al-Co-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,6,mp-1228972,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCoNi6,Al-Co-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,7,mp-1228742,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al9Co2Ni,Al-Co-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,8,mp-10885,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCrNi2,Al-Cr-Ni,exact,3,25,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,9,mp-1228913,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al2CoNi,Al-Co-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,10,mp-1214822,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCo2Ni,Al-Co-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,11,mp-1214804,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCo2Ni,Al-Co-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
hot_section_creep_am,12,mp-1228985,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCrNi,Al-Cr-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,1,kb_ti_6242,engineering_analogue,ti_6242,ATI 6-2-4-2 titanium alloy,Ti-alloy-like candidate,Ti alloy,Engineering analogue: ATI 6-2-4-2 titanium alloy,Ti-Al-Sn-Zr-Mo-Si,knowledge_table_seed,6,88,Engineering analogue candidate generated from the curated alloy knowledge table. Selection reason: matches lightweight intent; matches fatigue intent; matches manufacturability intent; matches temperature intent; matches creep intent; matches route suitability intent. AM support in seed table: limited. ATI datasheet
lightweight_strength_to_weight,2,kb_ti_6246,engineering_analogue,ti_6246,Ti-6-2-4-6 titanium alloy,Ti-alloy-like candidate,Ti alloy,Engineering analogue: Ti-6-2-4-6 titanium alloy,Ti-Al-Sn-Zr-Mo,knowledge_table_seed,5,88,Engineering analogue candidate generated from the curated alloy knowledge table. Selection reason: matches lightweight intent; matches fatigue intent; matches manufacturability intent; matches temperature intent; matches creep intent; matches route suitability intent. AM support in seed table: limited. ATI product page + Aubert & Duval datasheet
lightweight_strength_to_weight,3,kb_ti_15mo,engineering_analogue,ti_15mo,ATI 15Mo titanium alloy,Ti-alloy-like candidate,Ti alloy,Engineering analogue: ATI 15Mo titanium alloy,Ti-Mo-Fe-O,knowledge_table_seed,4,88,Engineering analogue candidate generated from the curated alloy knowledge table. Selection reason: matches lightweight intent; matches fatigue intent; matches manufacturability intent; matches temperature intent; matches creep intent; matches route suitability intent. AM support in seed table: limited. ATI product page + ATI datasheet
lightweight_strength_to_weight,4,mp-1217017,materials_project,,,Ti-alloy-like candidate,Ti alloy,TiAl6Mo,Al-Mo-Ti,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,5,mp-1228914,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al4CrNi15,Al-Cr-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,6,mp-1229050,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al18Co5Ni3,Al-Co-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,7,mp-1228972,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCoNi6,Al-Co-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,8,mp-1228742,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al9Co2Ni,Al-Co-Ni,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,9,mp-1208235,materials_project,,,Ti-alloy-like candidate,Ti alloy,Ti4(NbAl3)3,Al-Nb-Ti,exact,3,35,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,10,mp-10885,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCrNi2,Al-Cr-Ni,exact,3,25,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,11,mp-861627,materials_project,,,Ti-alloy-like candidate,Ti alloy,Ti2AlMo,Al-Mo-Ti,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,12,mp-1217093,materials_project,,,Ti-alloy-like candidate,Ti alloy,Ti2NbAl,Al-Nb-Ti,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,13,mp-1208228,materials_project,,,Ti-alloy-like candidate,Ti alloy,Ti3NbAl2,Al-Nb-Ti,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,14,mp-1228913,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,Al2CoNi,Al-Co-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,15,mp-1217015,materials_project,,,Ti-alloy-like candidate,Ti alloy,TiAl2V,Al-Ti-V,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,16,mp-1214822,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCo2Ni,Al-Co-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
lightweight_strength_to_weight,17,mp-1214804,materials_project,,,Ni-based superalloy-like candidate,Ni-based superalloy,AlCo2Ni,Al-Co-Ni,exact,3,5,Retrieved from Materials Project summary data and filtered through baseline alloy-family rules.
