case_id,rank,candidate_id,candidate_source,source_alloy_name,material_family,scope_family,recipe_mode,matched_alloy_name,analogue_weighted_score,recipe_support_score,final_rank_score,confidence,provenance
hot_section_creep_am,1,kb_ni_in718,engineering_analogue,INCONEL alloy 718,Ni-based superalloy-like candidate,Ni-based superalloy,named_analogue,INCONEL alloy 718,0.98,95.0,122.95,Medium-High,"Curated engineering analogue candidate from the project alloy knowledge table (INCONEL alloy 718); then evaluated using the same downstream factor, recipe, and reranking layers as retrieved candidates. Source reference: https://www.specialmetals.com/documents/technical-bulletins/inconel/inconel-alloy-718.pdf; https://www.eos.info/metal-solutions/metal-materials/data-sheets/mds-eos-nickelalloy-in718."
hot_section_creep_am,2,kb_ni_h282,engineering_analogue,HAYNES 282 alloy,Ni-based superalloy-like candidate,Ni-based superalloy,named_analogue,HAYNES 282 alloy,0.98,95.0,122.8,Medium-High,"Curated engineering analogue candidate from the project alloy knowledge table (HAYNES 282 alloy); then evaluated using the same downstream factor, recipe, and reranking layers as retrieved candidates. Source reference: https://haynesintl.com/wp-content/uploads/2023/09/282-brochure.pdf; https://www.eos.info/metal-solutions/metal-materials/data-sheets/mds-eos-nickelalloy-haynes-282."
hot_section_creep_am,3,kb_ni_in706,engineering_analogue,INCONEL alloy 706,Ni-based superalloy-like candidate,Ni-based superalloy,named_analogue,INCONEL alloy 706,0.9555,95.0,121.51,Medium-High,"Curated engineering analogue candidate from the project alloy knowledge table (INCONEL alloy 706); then evaluated using the same downstream factor, recipe, and reranking layers as retrieved candidates. Source reference: https://www.specialmetals.com/documents/nickel-alloy-handbook.pdf."
hot_section_creep_am,4,mp-10885,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.6087,56.26,81.31,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,5,mp-1228913,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5687,50.32,80.0,Medium,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,6,mp-1228914,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5737,45.95,75.94,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,7,mp-1229050,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5737,44.59,72.75,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,8,mp-1228742,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5737,44.42,72.19,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,9,mp-1228972,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5737,44.43,71.91,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,10,mp-1214822,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5287,39.54,63.05,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,11,mp-1214804,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5287,39.22,62.12,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
hot_section_creep_am,12,mp-1228985,materials_project,,Ni-based superalloy-like candidate,Ni-based superalloy,family_envelope,,0.5287,37.18,58.14,Low,"Retrieved from Materials Project summary data, then filtered and labelled using prototype alloy-family rules and engineering proxy scoring."
