reference_id,system_name,substrate_family,gradient_type,spatial_direction,zones,composition_profile,microstructure_profile,process_route,known_strengths,known_watch_outs,evidence_maturity,source_reference,applicability_guardrails
surface_oxidation_gradient,Surface oxidation-resistant gradient,Ni or Co alloy,composition,surface_normal,"core; transition; oxidation-resistant surface","increasing Al/Cr content toward surface","graded precipitate and oxide-forming surface region","directed energy deposition or powder bed fusion with parameter/material transitions","surface oxidation resistance while retaining tougher core","composition control; cracking; heat treatment response; qualification complexity",E,"curated graded AM template","Treat as exploratory unless tied to a demonstrated alloy and process window."
surface_wear_gradient,Surface wear-resistant gradient,steel or titanium alloy,composition_and_microstructure,surface_normal,"ductile core; transition; hard wear surface","increasing carbide or hard-phase fraction toward surface","hard surface with tougher lower-gradient support","directed energy deposition or hybrid additive repair","localized wear resistance with reduced bulk penalty","interface cracking; residual stress; machining and inspection complexity",E,"curated graded AM template","Use as a template concept only until wear, fatigue and residual stress evidence is available."
tough_core_hard_surface_gradient,Tough-core hard-surface gradient,steel or nickel alloy,microstructure,surface_normal,"tough core; transition; hardened case","nominally similar chemistry with controlled surface hardening additions","core toughness with hardened surface case","additive build plus heat treatment or surface remelting","balances impact tolerance and surface durability","distortion; hard-zone cracking; property verification through depth",D,"curated graded material reference","Use only when through-thickness property verification is planned."
thermal_barrier_gradient,Exploratory thermal-barrier gradient,Ni alloy or CMC,composition_and_porosity,surface_normal,"load-bearing substrate; compliant transition; insulating surface","increasing ceramic and porosity fraction toward hot surface","graded thermal expansion and insulating outer region","multi-material additive manufacturing or hybrid coating-additive route","reduced thermal mismatch compared with abrupt coating interfaces","very low maturity; delamination; process repeatability; inspection gaps",F,"curated exploratory template","Template concept only; not a generated candidate and not certification ready."
oxidation_resistant_surface_gradient_variant,Oxidation-resistant surface gradient variant,Ni or Co alloy,composition,surface_normal,"load-bearing core; transition; oxide-forming surface","increasing Al/Cr/Si oxide-forming additions toward surface","graded oxidation-resistant surface with tougher core support","directed energy deposition with composition transition","oxidation-resistance intent without discrete coating interface","transition-zone cracking; composition control; heat-treatment response; inspection burden; qualification immaturity",E,"curated graded AM seed template","Exploratory template only; validate process window and oxidation evidence before engineering use."
thermal_porosity_gradient_variant,Thermal barrier porosity gradient variant,Ni alloy or CMC,porosity_and_composition,surface_normal,"dense support; graded transition; porous insulating surface","increasing ceramic or porosity fraction toward hot surface","thermal barrier and thermal expansion transition intent","hybrid additive deposition with controlled porosity gradient","thermal-barrier intent with smoother transition than abrupt coating","porosity control; delamination; thermal cycling evidence gaps; nondestructive inspection difficulty",F,"curated graded AM seed template","Research-mode style concept; not a recommendation without thermal cycling and inspectability evidence."
wear_hard_surface_gradient_variant,Wear-resistant hard-surface gradient variant,steel or titanium alloy,composition_and_microstructure,surface_normal,"ductile core; transition; hard wear surface","increasing carbide or hard phase content toward surface","hard-surface wear layer over tougher support","directed energy deposition or hybrid additive repair","wear resistance with reduced bulk hardening penalty","residual stress; hard-zone cracking; machining response; fatigue debit; repair uncertainty",E,"curated graded AM seed template","Exploratory template only; require wear, fatigue and through-depth verification."
metal_ceramic_transition_gradient_concept,Metal-to-ceramic transition-zone gradient concept,metallic substrate,composition,surface_normal,"metallic core; graded transition; ceramic-rich surface","progressive metal-to-ceramic fraction change","transition-zone management between metallic support and ceramic-rich surface","multi-material additive manufacturing or directed energy deposition","makes metal/ceramic transition risk explicit for surface-function exploration","cracking; chemical compatibility; residual stress; inspection method immaturity; very high qualification burden",F,"curated graded AM seed template","Concept-only architecture; no certified applicability or winner selection implied."
repair_oriented_graded_buildup_concept,Repair-oriented graded buildup concept,Ni or Co alloy,composition_and_microstructure,repair_buildup_normal,"existing substrate; graded repair buildup; protected surface","composition adjusted from substrate-compatible buildup toward surface protection","repair buildup with transition-zone management","directed energy deposition repair with graded powder feed","repair-oriented surface restoration concept with explicit process controls","repair repeatability; residual stress; bond-line defects; inspection access; qualification burden",E,"curated graded AM seed template","Exploratory repair concept only; validate repair acceptance criteria and inspection methods."
residual_stress_managed_gradient_concept,Residual-stress-managed surface gradient concept,metallic substrate,microstructure,surface_normal,"core; stress-managed transition; functional surface","chemistry may remain similar while process parameters vary by depth","microstructure gradient intended to manage residual stress and surface response","powder bed fusion or directed energy deposition with parameter transitions","makes residual-stress management visible in gradient design space","process-window sensitivity; through-depth property scatter; inspection burden; limited repair evidence",E,"curated graded AM seed template","Use as a process-control concept only until residual stress and property verification evidence exists."
